Nitram (2021),3/30/22,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qOmOMMgqZj7vooTDEqzOUF4jzX0.jpg,"Based on true events, "Nitram" lives with his parents in suburban Australia in the mid-90s. He lives a life of isolation and frustration at never fitting in. As his anger grows, he begins a slow descent into a nightmare that culminates in the most heinous of acts."
Morbius (2022),4/1/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6nhwr1LCozBiIN47b8oBEomOADm.jpg,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease."
The Contractor (2022),4/1/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/rJPGPZ5soaG27MK90oKpioSiJE2.jpg,"After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home."
You Won't Be Alone (2022),4/1/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/45W9ViL5ilurSLVzBEybYXHrxEJ.jpg,"In an isolated mountain village in 19th century Macedonia, a young feral witch accidentally kills a peasant. She assumes the peasant's shape to see what life is like in her skin, igniting a deep seated curiosity to experience life inside the bodies of others."
Barbarians (2021),4/1/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6GQH7czsea1iEPmBbcbTzF5x1sF.jpg,"A civilized dinner party in a country house sees four friends, Lucas, Adam, Chloe, and Eve, coming together for a birthday celebration. As the night progresses secrets and lies force themselves into the light and polite pretensions are dropped. A knock at the door reveals three masked intruders with an agenda of their own. Will their friendship stand the test? Can they survive the night or will their secrets eventually catch up with them?"
Bull (2021),4/1/22,https://www.themoviedb.org/t/p/original/oapxWncDc5ztrge3ycpvaZIMcf3.jpg,"Ten years after he was last seen, a vicious mob enforcer returns home to find his son and methodically track down the gang that double-crossed him. His quest for revenge soon leads to a savage showdown between his wife and her mob boss father."
Gagarine (2020),4/1/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/g7wfTiqza28FqUlKGaGqvlXhTDX.jpg,"Yuri, 16, has lived all his life in Gagarin Towers, a vast red-brick housing project on the outskirts of Paris. He dreams of becoming an astronaut. When plans to demolish Gagarin Towers leak out, Yuri joins the resistance. With his friends Diana and Houssam, he embarks on a mission to save their home, which has become his “starship.”
Iris Warriors (2022),4/2/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4sjcxz0mxMbeqXlpbOjmpkP8nWz.jpg,"England, 1940: When falling bombs trap eight children in the cellar of their orphanage, their teacher, Miss Shaw starts to read them a story. As the tale unfolds, they are magically transported to a timeless, mythical island, where they witness the story of Darkness and Light..."
Fallen Angels Murder Club : Friends to Die For (2022),4/2/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zwmN4m60cUwBZEYzMRoMqaHxEN8.jpg,"The members of the Fallen Angels Murder Club must have two things in common — a love for books and have a criminal record. Hollis Morgan meets both requirements. When a member of her book club is murdered in a scene straight out of the previous night’s novel, Hollis becomes the subject of police scrutiny. Refusing to get stuck with another bad rap, Hollis sets out to investigate her fellow club members and after a second book-inspired murder, she races to identify the killer before she becomes the next victim."
Ambulance (2022),4/8/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/kuxjMVuc3VTD7p42TZpJNsSrM1V.jpg,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million."
Sonic the Hedgehog 2 (2022),4/8/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands."
Aline (2020),4/8/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/9FC1wqVpaWvaIcAbu6bIYgFDu1z.jpg,"For Aline Dieu, nothing in the world matters more than music, family and love. Her powerful and emotional voice captivates everyone who hears it, including successful manager Guy-Claude Kamar, who resolves to do everything in his power to make her a star. As Aline climbs from local phenomenon to bestselling recording artist to international superstar, she embarks on the two great romances of her life: one with the decades-older Guy- Claude and the other with her adoring audiences."
Cow (2021),4/8/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/faszRX0wSzGqjIzDXt79H9ibsXa.jpg,"A close-up portrait of the daily lives of two cows."
Fantastic Beasts: The Secrets of Dumbledore (2022),4/15/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/8ZbybiGYe8XM4WGmGlhF0ec5R7u.jpg,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers."
Father Stu (2022),4/15/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/pLAeWgqXbTeJ2gQtNvRmdIncYsk.jpg,"The true-life story of boxer-turned-priest, Father Stuart Long, whose journey from self-destruction to redemption inspired countless people along the way."
"Paris 13th District (2021)",4/15/22,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/kSXPsrausCYVsDnQaJfhzqR9fV7.jpg,"Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy – They’re friends, sometimes lovers and often both."
Dual (2022),4/15/22
The Unbearable Weight of Massive Talent (2022),4/22/22
The Northman (2022),4/22/22
The Bad Guys (2022),4/22/22
Petite Maman (2021),4/22/22
Hit the Road (2021),4/22/22
Hatching (2022),4/29/22
Memory (2022),4/29/22
Firebird (2021),4/29/22
Vortex (2021),4/29/22
Octopus Pot (2022),5/4/22
Doctor Strange in the Multiverse of Madness (2022),5/6/22
Happening (2021),5/6/22
The Twin (2022),5/6/22
The Ravine (2021),5/6/22
Firestarter (2022),5/13/22
The Innocents (2021),5/13/22
Family Camp (2022),5/13/22
Men (2022),5/20/22
Men (2022),5/20/22
Top Gun: Maverick (2022),5/27/22
The Bob's Burgers Movie (2022),5/27/22
Pulled from Darkness (2022),5/28/22
Watcher (2022),6/3/22
Terror on the Prairie (2022),6/9/22
Jurassic World Dominion (2022),6/10/22
Look at Me: XXXTentacion (2022),6/10/22
Lightyear (2022),6/17/22
The Lost Girls (2022),6/17/22
Elvis (2022),6/24/22
The Black Phone (2021),6/24/22
Shotgun Wedding (2022),6/29/22
Minions 2: The Rise of Gru (2022),7/1/22
Thor: Love and Thunder (2022),7/8/22
Where the Crawdads Sing (2022),7/15/22
The Wrong Place (2022),7/15/22
Mrs Harris Goes to Paris (2022),7/15/22
Nope (2022),7/22/22
Paws of Fury: The Legend of Hank (2022),7/22/22
Bullet Train (2022),7/29/22
DC League of Super-Pets (2022),7/29/22
Guns 3: Alias Billy the Kid (2022),8/3/22
Secret Headquarters (2022),8/5/22
The Man from Toronto (2022),8/12/22
Samaritan (2022),8/26/22
After Ever Happy (2022),9/7/22
Salem's Lot (2022),9/9/22
Dark Harvest (2022),9/9/22
The Woman King (2022),9/16/22
"Are You There God? It's Me Margaret (2022)",9/16/22
Puss in Boots 2: The Last Wish (2022),9/23/22
Don't Worry Darling (2022),9/23/22
BROS (2022),9/30/22
Spider-Man: Across the Spider-Verse - Part One (2022),10/7/22
Till (2022),10/7/22
Halloween Ends (2022),10/14/22
Black Adam (2022),10/21/22
Ticket to Paradise (2022),10/21/22
The Devil's Light (2022),10/28/22
The Monkey King: The Legend Begins (2022),11/2/22
Untitled David O. Russell (2022),11/4/22
Black Panther: Wakanda Forever (2022),11/11/22
Spellbound (2022),11/11/22
Thirteen Lives (2022),11/18/22
She Said (2022),11/18/22
The Fabelmans (2022),11/23/22
Creed III (2022),11/23/22
Strange World (2022),11/23/22
Bitch Ass (2022),12/15/22
Avatar 2 (2022),12/16/22
Shazam! Fury of the Gods (2022),12/16/22
Untitled Illumination Entertainment Super Mario Project (2022),12/21/22
A Man Called Otto (2022),12/25/22
Babylon (2022),1/6/23
The Amazing Maurice (2023),1/6/23
Kraven the Hunter (2023),1/13/23
Harold and the Purple Crayon (2023),1/27/23
Knock at the Cabin (2023),2/3/23
The Marvels (2023),2/17/23
Dungeons & Dragons (2023),3/3/23
Haunted Mansion (2023),3/10/23
Aquaman and the Lost Kingdom (2023),3/17/23
Fast Charlie (2023),3/17/23
John Wick: Chapter 4 (2023),3/24/23
