Julia,3/31/22,HBO Max
Brené Brown: Atlas of the Heart,3/31/22,HBO Max
How We Roll (9:30 p.m.),3/31/22,CBS
The Fairly Oddparents: Fairly Odder,3/31/22,Paramount+
Slow Horses, 4/1/22,Apple TV+
Doug Unplugs, 4/1/22,Apple TV+
The Outlaws, 4/1/22,Prime Video
Great Performances at The Met: Fire Shut Up in My Bones (9:00 p.m.), 4/1/22,PBS
The Home Edit, 4/2/22,Netflix
Fallen Angels Murder Club: Friends to Die For (9:00 p.m.), 4/2/22,Lifetime
Impractical Jokers Special (11:00 p.m.), 4/2/22,TruTV
Harry Wild, 4/4/22,Acorn TV
Benjamin Franklin (8:00 p.m.), 4/4/22,PBS
Madagascar: A Little Wild, 4/4/22,Hulu
Long Slow Exhale, 4/4/22,Spectrum
30 for 30: Shark (8:00 p.m.), 4/5/22,ESPN
The Croods: Family Tree, 4/5/22,Hulu
Black Dog: Being a Teacher, 4/5/22,Netflix
Nature: Hippo King (8:00 p.m.), 4/6/22,PBS
NOVA: Determined: Fighting Alzheimer’s (9:00 p.m.), 4/6/22,PBS
Body Parts (10:00 p.m.), 4/6/22,TLC
The Hardy Boys, 4/6/22,Hulu
The Ultimatum: Marry or Move On, 4/6/22,Netflix
Cursed Films, 4/7/22,Shudder
Tokyo Vice, 4/7/22,HBO Max
iCarly, 4/8/22,Paramount+
Woke, 4/8/22,Hulu
Tiger & Bunny, 4/8/22,Netflix
Elite, 4/8/22,Netflix
Now Hear This (9:00 p.m.), 4/8/22,PBS
Chamber Music Society Returns (10:00 p.m.), 4/8/22,PBS
Fallen Angels Murder Club: Heroes and Felons (8:00 p.m.), 4/9/22,Lifetime
Would I Lie To You? (8:30 p.m.), 4/9/22,The CW
Master of Illusion (9:00 p.m.), 4/9/22,The CW
Portals to Hell (10:00 p.m.), 4/9/22,Travel Channel
61st Street (10:00 p.m.), 4/10/22,AMC
Chad (10:00 p.m.), 4/11/22,TBS
"Rise of the Nazis, Dictators at War (9:00 p.m.)", 4/12/22,PBS
Hard Cell, 4/12/22,Netflix
High Design, 4/13/22,Discovery+
Ice Age: Scrat Tales, 4/13/22,Disney+
Our Great National Parks, 4/13/22,Netflix
Nature: American Arctic (8:00 p.m.), 4/13/22,PBS
NOVA: Why Ships Crash (9:00 p.m.), 4/13/22,PBS
PBS NewsHour: Searching for Justice: Life After Lockup (10:00 p.m.), 4/13/22,PBS
Ultraman, 4/14/22,Netflix
Borgen – Power & Glory, 4/14/22,Netflix
The Garcias, 4/14/22,HBO Max
Roar, 4/15/22,Apple TV+
Anatomy of a Scandal, 4/15/22,Netflix
"It’s the Small Things, Charlie Brown", 4/15/22,Apple TV+
La Madrina: The Savage Life of Lorine Padilla (8:00 p.m.), 4/15/22,Showtime
Outer Range, 4/15/22,Prime Video
Swimming with Sharks, 4/15/22,Roku
90 Day Fiancé, 4/16/22,TLC
The First Lady (9:00 p.m.), 4/17/22,Showtime
Better Call Saul (9:00 p.m.), 4/18/22,AMC
POV: On the Divide (10:00 p.m.), 4/18/22,PBS
Hidden Assets:, 4/18/22,Acorn TV
Mayans MC (10:00 p.m.), 4/19/22,FX
Changing Planet (8:00 p.m.), 4/20/22,PBS
Freddie Mercury: The Final Act (8:00 p.m.), 4/20/22,The CW
Cypress Hill: Insane in the Brain (8:00 p.m.), 4/20/22,Showtime
Russian Doll, 4/20/22,Netflix
Captive Audience, 4/21/22,Hulu
The Flight Attendant, 4/21/22,HBO Max
They Call Me Magic, 4/22/22,Apple TV+
Explorer: The Last Tepui, 4/22/22,Disney+
The Biggest Little Farm: The Return, 4/22/22,Disney+
